Code,1,2,3,4,5,6
SCHLIGR67,0.0979,0.8351,0.006,0.0108,0.0068,0.0434
SCHLIGR63,0.067,0.8353,0.0064,0.012,0.0236,0.0557
FRIC39,0.0423,0.0174,0.006,0.0861,0.0168,0.8313
BOHHAS45,0.8293,0.0118,0.0044,0.0688,0.048,0.0377
BOHBU99,0.0076,0.0138,0.004,0.9536,0.0142,0.0069
BOHBU139,0.0104,0.0097,0.004,0.9536,0.0086,0.0138
BOHBU416,0.0545,0.0149,0.004,0.8817,0.023,0.0219
BOHBU382,0.0125,0.0061,0.006,0.9417,0.0172,0.0165
BOHBU150,0.0107,0.0097,0.004,0.9573,0.0112,0.0071
BOHBU553,0.0252,0.0081,0.004,0.9419,0.0096,0.0112
BOHBU116,0.008,0.007,0.004,0.9656,0.0084,0.007
BOHBU398,0.0097,0.0213,0.004,0.9482,0.0096,0.0072
BOHBU135,0.0259,0.084,0.0233,0.5714,0.0378,0.2576
SCHLIDR35,0.0279,0.271,0.0061,0.2584,0.0186,0.418
BARB2,0.0418,0.6546,0.0109,0.1166,0.1571,0.019
BOHHAS26,0.7466,0.0783,0.007,0.0492,0.0246,0.0943
BOHHAS46,0.8236,0.0333,0.0049,0.047,0.0325,0.0586
SCHLIDR24,0.0064,0.9582,0.004,0.0134,0.0112,0.0067
SCHLIDR3,0.0114,0.9332,0.0049,0.0242,0.0154,0.0108
SCHLIDR72,0.0132,0.8902,0.0356,0.0279,0.0194,0.0137
BOHHAS24,0.8098,0.0473,0.0078,0.0408,0.0162,0.078
BOHHAS37,0.6037,0.0909,0.0072,0.0468,0.0213,0.2301
SCHLIDR38,0.0309,0.8884,0.004,0.0262,0.0264,0.024
SCHLIDR33,0.0577,0.8881,0.0043,0.0218,0.014,0.0141
SCHLI1,0.0134,0.1692,0.0049,0.0661,0.0081,0.7383
SCHLIDR53,0.0362,0.9115,0.0041,0.0162,0.0142,0.0177
SCHLIDR70,0.0221,0.8343,0.004,0.0808,0.0416,0.0172
SCHIF25,0.0411,0.0334,0.0089,0.6767,0.0189,0.221
SCHLIDR1,0.0094,0.9468,0.004,0.0179,0.013,0.0089
SCHLIDR1,0.0093,0.9444,0.004,0.0199,0.0134,0.0089
SCHLIDR45,0.0102,0.9568,0.004,0.0131,0.0086,0.0073
SCHLIDR14,0.0496,0.8463,0.004,0.046,0.0139,0.0402
BOHHAS5,0.9437,0.0116,0.0041,0.0153,0.0083,0.017
BOHHAS3,0.9215,0.0141,0.0047,0.0167,0.0089,0.0341
BOHHAS15,0.9295,0.0167,0.0042,0.0137,0.0137,0.0222
BOHHAS25,0.8939,0.023,0.005,0.0143,0.015,0.0488
SCHIF24,0.032,0.0146,0.0145,0.0063,0.0098,0.9229
BOHHAS19,0.6201,0.1516,0.008,0.1202,0.0112,0.0889
BOHBU538,0.3464,0.1538,0.006,0.4525,0.017,0.0242
RIETH67,0.7228,0.0994,0.0039,0.0835,0.0415,0.0489
RIETH28,0.6317,0.229,0.006,0.0336,0.02,0.0798
SCHLIGR31,0.005,0.9308,0.0047,0.0072,0.0161,0.0362
RIETH53,0.015,0.2335,0.004,0.0118,0.0669,0.6688
SCHLIGR25,0.0104,0.8853,0.0037,0.0079,0.0183,0.0743
KON75,0.0133,0.0713,0.003,0.0102,0.0354,0.8667
SCHLIGR21,0.0088,0.3902,0.003,0.0086,0.0352,0.5542
KON181,0.1027,0.201,0.004,0.0151,0.0161,0.6611
UST33,0.08,0.117,0.0077,0.1637,0.5586,0.073
NEUCH12,0.4586,0.2074,0.0048,0.0303,0.0243,0.2746
KON166,0.012,0.0124,0.003,0.008,0.013,0.9515
NEUCH4,0.0894,0.0503,0.004,0.0172,0.0309,0.8082
NEUCH11,0.0248,0.0327,0.0406,0.0118,0.0187,0.8715
NEUCH2,0.0295,0.0698,0.004,0.0182,0.0309,0.8476
NEUCH47,0.0171,0.0439,0.0039,0.0066,0.0126,0.916
SCHLIDR37,0.0161,0.9169,0.0059,0.0289,0.0091,0.0231
SCHLIGR27,0.006,0.9416,0.0037,0.0097,0.0161,0.023
SCHLIGR19,0.004,0.9586,0.0033,0.0051,0.0074,0.0215
SCHLIGR50,0.0048,0.967,0.0037,0.0048,0.0053,0.0144
BOHBU124,0.8907,0.0054,0.0031,0.0265,0.0321,0.0421
SCHLIGR24,0.0043,0.9698,0.0036,0.0052,0.0074,0.0097
SCHLIGR126,0.0046,0.9735,0.004,0.0049,0.0052,0.0079
