Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
BOHBU358,BOB_10_2017,236,218,256,295,312,140,292,128,145,383,216,308,148,326
BOHBU36,BOB_9_2012,242,218,256,280,312,140,298,0,157,389,216,313,148,326
BOHBU360,BOB_11_2017,242,218,256,280,312,160,298,122,157,383,211,308,148,326
BOHBU361,BOB_11_2017,242,217,261,280,312,160,298,122,157,383,211,308,148,326
BOHBU362,BOB_11_2017,254,236,261,280,312,164,298,122,142,392,211,313,148,322
BOHBU363,BOB_11_2017,242,218,261,280,312,160,301,122,157,338,211,308,148,326
BOHBU37,BOB_10_2012,242,218,256,280,312,164,298,122,157,389,211,318,148,326
BOHBU370,BOB_11_2017,242,236,261,280,312,164,298,122,157,356,211,318,148,326
BOHBU373,BOB_11_2017,254,236,256,280,312,160,298,122,157,383,211,308,148,326
BOHBU377,BOB_11_2017,242,218,256,280,312,160,298,128,142,389,211,308,148,326
BOHBU38,BOB_10_2012,236,218,256,280,312,140,0,128,145,389,216,313,148,322
BOHBU380,BOB_11_2017,254,236,261,280,312,160,298,128,142,389,211,308,148,322
BOHBU382,BOB_11_2017,242,218,261,280,312,160,295,128,157,383,211,308,148,326
BOHBU39,BOB_10_2012,242,218,256,295,312,164,298,128,157,383,216,308,148,326
BOHBU398,BOB_11_2017,254,218,261,280,312,160,298,122,157,383,211,308,148,326
BOHBU404,BOB_11_2017,242,236,256,280,312,164,301,128,157,356,216,318,148,326
BOHBU41,BOB_10_2012,242,218,256,280,312,140,298,128,145,359,216,308,148,326
BOHBU414,BOB_12_2017,236,218,256,280,312,140,292,128,145,389,216,313,148,326
BOHBU415,BOB_12_2017,242,236,256,280,312,160,298,128,142,356,211,318,148,326
BOHBU416,BOB_12_2017,236,218,261,280,312,164,298,122,157,383,211,308,148,326
BOHBU417,BOB_12_2017,236,236,261,295,312,140,298,128,178,383,211,308,148,326
