"","FRE","ALD","RIE","TRO","SCG","BOH","BOB","FRB","UEB","SCL","SCD","WSL","BUR","SCS","NEU","UST","KON","FRI","BAR","BRU","LIM","HAN","GEN"
"SCS",0.507004703871845,0.220654357810868,0.167945762991532,0.220511928873656,0.141436024488047,0.14940304237762,0.128118242390739,0.244535701540337,0.206579785914949,0.216868888826564,0.181985906195567,0.235826293740588,0.353263870343141,0,0.263853501178025,0.136156358323833,0.131672433577347,0.120291385531749,0.318559556786704,0.256468187668578,0.0885728784985178,0.174594198327634,0.172171561292963
"NEU",0.461082474675551,0.177449218439616,0.0879261635944389,0.0888304958364154,0.185910178327314,0.0939550486900069,0.110038614133322,0.239338234075671,0.179365962837528,0.13728642094534,0.145368704138249,0.190561539046713,0.345720272131521,0.263853501178025,0,0.114200481247048,0.128258495642151,0.168745815805843,0.233292248698987,0.253818386946097,0.0837227044393477,0.112887940463785,0.210995518055378
"UST",0.385315171034161,0.0927388891246283,0.0611037549077997,0.116687889997747,0.109111557893807,0.0563156766283597,0.0582415275960668,0.143641222369034,0.0891127886659141,0.143487343237131,0.0909613105296433,0.190725087680335,0.2990307156638,0.136156358323833,0.114200481247048,0,0.0922370903340223,0.0847598077310537,0.0815688646904619,0.178674738325575,0.0457200762571821,0.0836900584936386,0.0944958928936829
"KON",0.387286809452629,0.169113330816671,0.0984158651488658,0.152288783028741,0.159626049029901,0.0853310182946032,0.111364516588247,0.188999321251478,0.194130850660982,0.183388590770887,0.157165693211045,0.210500536609682,0.2983210219661,0.131672433577347,0.128258495642151,0.0922370903340223,0,0.133778425189347,0.211892980380489,0.239383569562561,0.0676054545752867,0.123929367647197,0.145286171510396
"FRI",0.382829535904035,0.134581151236362,0.0940417705134517,0.175219368835522,0.145777303395297,0.0687529770410593,0.0819588160452622,0.150863838050397,0.124381515574768,0.196982172383567,0.100548946957878,0.107906911932421,0.277351656318105,0.120291385531749,0.168745815805843,0.0847598077310537,0.133778425189347,0,0.135168067958292,0.193530671330245,0.0583386558986606,0.106164905173186,0.13891026894069
"BAR",0.401077084259795,0.210202100432442,0.0678202037483475,0.257821278609025,0.0858841010401189,0.118653266331658,0.12178885599009,0.0783110790328401,0.154396774858557,0.119073505081541,0.0752382103375019,0.276961463820352,0.304989649234819,0.318559556786704,0.233292248698987,0.0815688646904619,0.211892980380489,0.135168067958292,0,0.184723968836272,0.0707451752227871,0.141433694983418,0.202054794520548
"BRU",0.289775540171174,0.255196802500298,0.183203226698221,0.246694902556304,0.205685869122206,0.208640573106779,0.199602923552706,0.117689094574681,0.234232257154169,0.241071808677331,0.217668613465731,0.296633246243557,0.232659824763316,0.256468187668578,0.253818386946097,0.178674738325575,0.239383569562561,0.193530671330245,0.184723968836272,0,0.182755558033108,0.217263217845137,0.226528537188809
"LIM",0.356283365736942,0.115034979685322,0.0624475526738499,0.107906879563874,0.0967840555890232,0.0324925412142708,0.0578573919734541,0.134921828513306,0.13104163971225,0.113708041106174,0.0841925097738625,0.131880249177913,0.251680644833806,0.0885728784985178,0.0837227044393477,0.0457200762571821,0.0676054545752867,0.0583386558986606,0.0707451752227871,0.182755558033108,0,0.0624014889905283,0.0993507418252699
"HAN",0.42335264569007,0.15888753153711,0.0862535812533426,0.176537174912439,0.168653340514361,0.0761530531111389,0.109277368925165,0.192328907457985,0.129570001758975,0.140277715624798,0.090601217815864,0.126681940410412,0.330001316827408,0.174594198327634,0.112887940463785,0.0836900584936386,0.123929367647197,0.106164905173186,0.141433694983418,0.217263217845137,0.0624014889905283,0,0.13975366811959
"GEN",0.499305474021126,0.143141911928173,0.112053226443225,0.223836069236785,0.125431034482759,0.164847250340181,0.146024076369363,0.242361960240153,0.10575759030313,0.146614289061537,0.129663935099851,0.205030914617825,0.359407872361278,0.172171561292963,0.210995518055378,0.0944958928936829,0.145286171510396,0.13891026894069,0.202054794520548,0.226528537188809,0.0993507418252699,0.13975366811959,0
