"","grp.grp"
"UST3","5"
"UST4","5"
"UST5","1"
"UST6","5"
"UST7","5"
"KON1","3"
"UEBERL18","1"
"BOHBU56","1"
"BOHBU57","4"
"BOHHAS36","3"
"BOHHAS37","1"
"SCHLIDR33","5"
"FREI54","4"
"FREI55","4"
"BUR16","6"
"BUR17","6"
"BUR19","6"
"BUR21","6"
"BUR22","6"
"BUR23","6"
"BUR24","6"
"BUR25","6"
"BUR28","6"
"BUR29","6"
"BUR30","6"
"BUR31","6"
"BUR32","5"
"BUR33","6"
"BUR37","6"
"BUR38","6"
"ALD47","1"
"ALD48","1"
"FREI56","6"
"RIETH39","5"
"RIETH40","1"
"BOHHAS39","3"
"FRIC1","3"
"FRIC10","3"
"FRIC11","3"
"FRIC12","3"
"FRIC13","3"
"FRIC14","3"
"FRIC15","3"
"FRIC16","3"
"FRIC17","3"
"FRIC18","3"
"FRIC19","3"
"FRIC2","3"
"FRIC20","3"
"FRIC3","3"
"FRIC4","3"
"FRIC5","3"
"FRIC6","3"
"FRIC7","3"
"FRIC9","3"
"SCHLIDR34","5"
"SCHLIDR35","5"
"BOHBU135","4"
"BOHBU136","1"
"BOHBU137","3"
"BOHBU138","3"
"BOHBU139","5"
"BOHBU140","5"
"BOHBU141","4"
"BOHBU142","3"
"BOHBU143","3"
"BOHBU144","4"
"BOHBU145","1"
"BOHBU146","3"
"BOHBU147","1"
"BOHBU148","3"
"BOHBU149","3"
"BOHBU150","5"
"BOHBU151","3"
"BOHBU152","3"
"BOHBU153","3"
"BOHBU154","1"
"BOHBU155","1"
"BOHBU156","5"
"BOHBU157","1"
"BOHBU158","3"
"BOHBU159","3"
"BOHBU160","5"
"BOHBU161","1"
"BOHBU162","5"
"BOHBU163","3"
"BOHBU164","3"
"BOHBU165","3"
"BOHBU166","4"
"BOHBU167","3"
"BOHBU168","3"
"BOHBU169","1"
"BOHBU170","3"
"BOHBU171","3"
"UEBERL144","1"
"UEBERL145","1"
"UEBERL146","1"
"UEBERL147","1"
"UEBERL148","1"
"UEBERL149","3"
"UEBERL150","1"
"UEBERL151","1"
"UEBERL152","2"
"UEBERL153","1"
"UEBERL154","1"
"UEBERL155","1"
"UEBERL156","1"
"UEBERL157","1"
"UEBERL158","1"
"UEBERL159","1"
"UEBERL160","1"
"UEBERL161","1"
"UEBERL162","2"
"UEBERL163","1"
"UEBERL164","1"
"UEBERL165","1"
"UEBERL166","1"
"UEBERL167","1"
"UEBERL168","1"
"UEBERL169","1"
"UEBERL170","1"
"UEBERL171","1"
"UEBERL172","1"
"UEBERL173","1"
"UEBERL174","1"
"UEBERL175","1"
"UEBERL176","1"
"UEBERL177","1"
"UEBERL178","1"
"UEBERL179","1"
"UEBERL180","1"
"UEBERL181","1"
"FREI57","6"
"FREIBRUM12","6"
"ALD49","3"
"ALD50","3"
"BUR39","5"
"BUR40","6"
"BUR41","6"
"BUR42","6"
"BUR43","6"
"BUR44","6"
"BUR45","6"
"BUR46","6"
"BUR47","6"
"BUR49","6"
"BUR50","6"
"BUR51","6"
"BUR52","6"
"BUR53","6"
