Sample,MLG,PSex,aest06_1,aest07_1,aest15_1,aest26_1,aest28_1,aest35_1,aest36_1,aest01_1,aest10_1,aest18_1,aest24_1,aest25_1,aest29_1,aest31_1
BUR290,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR291,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR292,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR296,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR297,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR298,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR299,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR301,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR302,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR304,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR305,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR306,MLG1,1.01E-13,212,256,322,157,359,164,350,260,299,160,313,140,209,308
BUR98,MLG2,-,212,276,322,157,377,164,326,260,299,160,310,137,190,323
BOHBU257,MLG3,-,217,256,312,157,356,148,326,242,280,160,301,122,216,308
BOHBU455,MLG4,-,217,261,312,157,338,148,326,242,280,160,301,122,216,318
BOHBU361,MLG5,-,217,261,312,157,383,148,326,242,280,160,298,122,211,308
BOHBU259,MLG6,8.56E-14,217,261,312,157,383,148,326,242,280,160,301,122,211,308
BOHBU457,MLG6,8.56E-14,217,261,312,157,383,148,326,242,280,160,301,122,211,308
BOHBU470,MLG6,8.56E-14,217,261,312,157,383,148,326,242,280,160,301,122,211,308
BOHBU473,MLG6,8.56E-14,217,261,312,157,383,148,326,242,280,160,301,122,211,308
BOHBU508,MLG6,8.56E-14,217,261,312,157,383,148,326,242,280,160,301,122,211,308
BUR104,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR105,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR106,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR107,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR109,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR110,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR111,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR112,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR114,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR115,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR116,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR117,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR120,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR124,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR126,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR127,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR138,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR146,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR147,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR156,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR158,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR159,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR161,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR163,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR165,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR166,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR172,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR173,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR174,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR177,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR185,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR202,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR203,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR216,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR222,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR223,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR224,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR225,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR226,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR227,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR228,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR229,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR230,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR231,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR233,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR234,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR235,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR236,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR238,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR239,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR242,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR243,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR244,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR245,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR246,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR250,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR251,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR252,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR253,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR255,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR256,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR257,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR258,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR259,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR261,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR262,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR263,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR264,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR265,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR267,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR268,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR270,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR271,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR272,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR274,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR275,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR277,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR278,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR279,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR280,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR300,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR307,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR309,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR310,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR311,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR312,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR313,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR315,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR316,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BUR318,MLG7,0,217,276,322,157,353,164,322,260,299,160,313,137,209,318
BRU115,MLG8,0,217,276,322,157,359,164,346,230,309,160,298,140,209,318
BRU173,MLG8,0,217,276,322,157,359,164,346,230,309,160,298,140,209,318
BRU071,MLG9,0,217,276,322,157,359,164,346,230,309,160,313,140,209,318
BRU116,MLG9,0,217,276,322,157,359,164,346,230,309,160,313,140,209,318
LIM069,MLG9,0,217,276,322,157,359,164,346,230,309,160,313,140,209,318
LIM070,MLG9,0,217,276,322,157,359,164,346,230,309,160,313,140,209,318
LIM237,MLG9,0,217,276,322,157,359,164,346,230,309,160,313,140,209,318
TROSS1,MLG10,-,218,256,312,142,353,140,326,248,280,144,292,128,211,318
RIETH59,MLG11,-,218,256,312,142,353,148,326,236,295,140,292,122,211,313
TROSS12,MLG12,5.92E-08,218,256,312,142,353,148,326,242,280,144,292,128,211,318
TROSS13,MLG12,5.92E-08,218,256,312,142,353,148,326,242,280,144,292,128,211,318
TROSS3,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS4,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS7,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS8,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS9,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS11,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS14,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS15,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS20,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS22,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS23,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS25,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS26,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS27,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS29,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS30,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS32,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS34,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS35,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS36,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
TROSS37,MLG13,1.45E-13,218,256,312,142,353,148,326,248,280,144,292,128,211,318
UST38,MLG14,-,218,256,312,142,353,152,322,242,280,144,298,128,216,308
FRIC58,MLG15,-,218,256,312,142,356,148,322,254,290,144,295,128,216,318
BOHBU121,MLG16,-,218,256,312,142,356,148,326,242,280,140,298,128,216,313
UST21,MLG17,-,218,256,312,142,356,148,326,242,290,144,298,122,211,318
UST42,MLG18,-,218,256,312,142,356,148,326,242,290,144,298,122,216,318
SCHIF7,MLG19,-,218,256,312,142,359,140,322,236,290,140,298,128,216,308
SCHIF8,MLG20,-,218,256,312,142,359,148,322,236,290,140,298,128,216,283
SCHIF1,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF2,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF4,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF5,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF11,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF12,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF13,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF14,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF15,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF16,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF17,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF18,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF19,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF20,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF21,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF22,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF23,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF28,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF29,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF30,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF32,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF33,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF34,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF35,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF36,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF37,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF38,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF39,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF40,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF41,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF42,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF44,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF45,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF46,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF47,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF48,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF49,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
SCHIF51,MLG21,4.45E-14,218,256,312,142,359,148,322,236,290,140,298,128,216,308
GEN005,MLG22,-,218,256,312,142,359,148,322,242,290,144,298,122,216,300
FRIC39,MLG23,-,218,256,312,142,359,148,326,236,280,160,298,128,211,308
SCHLIDR35,MLG24,-,218,256,312,142,359,148,326,242,290,160,298,122,211,308
SCHLI1,MLG25,4.44E-11,218,256,312,142,359,152,322,242,290,164,298,122,216,308
SCHLI2,MLG25,4.44E-11,218,256,312,142,359,152,322,242,290,164,298,122,216,308
SCHIF24,MLG26,-,218,256,312,142,359,156,322,236,290,140,298,128,216,308
UST33,MLG27,-,218,256,312,142,377,148,326,242,295,144,298,122,211,308
BOHBU124,MLG28,-,218,256,312,142,383,148,326,236,280,140,298,128,216,308
BOHBU128,MLG29,-,218,256,312,142,383,148,326,242,280,140,295,122,216,313
BOHBU91,MLG30,-,218,256,312,142,383,148,326,242,280,140,298,122,216,308
SCHLIDR25,MLG31,-,218,256,312,142,389,144,326,242,295,160,298,122,211,308
LIM101,MLG32,3.25E-06,218,256,312,142,389,148,322,242,280,160,298,128,211,318
BRU182,MLG32,3.25E-06,218,256,312,142,389,148,322,242,280,160,298,128,211,318
LIM066,MLG33,1.78E-09,218,256,312,142,389,148,322,242,290,160,298,128,216,328
LIM067,MLG33,1.78E-09,218,256,312,142,389,148,322,242,290,160,298,128,216,328
HAN015,MLG34,-,218,256,312,142,389,148,322,248,295,144,298,122,221,313
BOHHAS43,MLG35,-,218,256,312,142,389,148,326,236,280,144,298,128,216,318
BOHHAS11,MLG36,-,218,256,312,142,389,148,326,236,295,144,298,128,216,318
BOHBU70,MLG37,-,218,256,312,142,389,148,326,242,280,140,298,128,216,313
BOHBU377,MLG38,1.62E-05,218,256,312,142,389,148,326,242,280,160,298,128,211,308
BOHBU410,MLG38,1.62E-05,218,256,312,142,389,148,326,242,280,160,298,128,211,308
UST29,MLG39,-,218,256,312,142,389,148,326,242,290,144,298,122,216,313
UST1,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
UST3,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
UST4,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
UST6,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
UST7,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
UST12,MLG40,0,218,256,312,142,389,148,326,242,290,144,298,122,216,318
SCHLIDR71,MLG41,-,218,256,312,142,389,148,326,242,290,160,298,122,211,308
SCHLIDR67,MLG42,-,218,256,312,142,389,148,326,242,295,160,298,122,211,308
SCHLIDR69,MLG43,-,218,256,312,142,389,148,326,254,290,160,298,122,211,308
LIM061,MLG44,-,218,256,312,142,389,152,322,254,295,160,298,128,216,318
UST39,MLG45,-,218,256,312,142,389,152,326,242,295,160,298,128,216,313
BUR3,MLG46,-,218,256,312,142,492,148,326,242,295,144,298,128,216,318
SCHLIGR132,MLG47,-,218,256,312,144,353,152,322,242,290,160,298,128,211,308
BOHBU190,MLG48,-,218,256,312,145,338,148,326,236,280,140,298,122,216,318
BOHBU310,MLG49,-,218,256,312,145,338,148,326,242,280,140,298,122,211,318
BOHHAS8,MLG50,-,218,256,312,145,353,148,326,236,295,144,298,128,216,313
BOHBU332,MLG51,-,218,256,312,145,353,148,326,242,280,160,298,128,216,308
SCHLI4,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLI5,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLI6,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLIGR127,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLIGR183,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLI95,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLIGR355,MLG52,0,218,256,312,145,353,152,322,242,290,160,298,128,211,308
SCHLIGR352,MLG53,-,218,256,312,145,353,152,322,254,290,160,298,128,211,323
BOHBU125,MLG54,-,218,256,312,145,356,148,322,242,280,160,298,128,211,318
BOHBU42,MLG55,-,218,256,312,145,356,148,326,242,280,140,298,128,216,313
NEUCH26,MLG56,-,218,256,312,145,356,148,326,242,290,140,295,128,211,318
KON129,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON228,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON229,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON231,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON235,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON236,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON238,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON249,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON250,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON252,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON257,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON259,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON260,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON261,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON262,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON263,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON264,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON265,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON267,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON268,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON269,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON270,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON271,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON272,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON273,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON274,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON275,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON276,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON277,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON290,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON291,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON292,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON293,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON294,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON295,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON296,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON297,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON298,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON300,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON302,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON303,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON306,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
KON307,MLG57,0,218,256,312,145,359,148,326,236,290,144,295,128,216,318
