"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"ALD_2013",1,1,1,2,1,2,1,1,1,2,1,1,2,2,1.35714285714286,0,0,0,0.21875,0,0.4296875,0,0,0,0.1171875,0,0,0.1171875,0.1171875,0.0714285714285714,0,0,0,0.233333333333333,0,0.458333333333333,0,0,0,0.125,0,0,0.125,0.125,0.0761904761904762,NA,NA,NA,0.611929212534787,NA,0.87510988474381,NA,NA,NA,0.503997010718435,NA,NA,0.503997010718435,0.503997010718435,0.59980602588678
"RIE_2013",3,2,1,4,4,2,2,3,3,4,3,2,2,2,2.64285714285714,0.3984375,0.21875,0,0.6484375,0.6328125,0.1171875,0.1171875,0.6640625,0.3203125,0.6484375,0.3203125,0.46875,0.1171875,0.3046875,0.35546875,0.425,0.233333333333333,0,0.691666666666667,0.675,0.125,0.125,0.708333333333333,0.341666666666667,0.691666666666667,0.341666666666667,0.5,0.125,0.325,0.379166666666667,0.649580359232867,0.611929212534787,NA,0.838934026124389,0.806449843631107,0.503997010718435,0.503997010718435,0.994075196381683,0.570795123564662,0.838934026124389,0.570795123564662,0.940856086883051,0.503997010718435,0.706498281313375,0.695449100885406
"TRO_2013",2,1,1,2,1,1,2,1,2,2,1,1,1,2,1.42857142857143,0.21875,0,0,0.21875,0,0,0.21875,0,0.21875,0.21875,0,0,0,0.21875,0.09375,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0.107142857142857,0.611929212534787,NA,NA,0.611929212534787,NA,NA,0.611929212534787,NA,0.611929212534787,0.611929212534787,NA,NA,NA,0.611929212534787,0.611929212534787
"BOB_2013",2,2,1,4,4,2,2,2,2,4,4,2,2,3,2.57142857142857,0.2408,0.42,0,0.4584,0.5704,0.0392000000000001,0.2408,0.3848,0.1472,0.4416,0.2184,0.3848,0.3432,0.6616,0.325085714285714,0.245714285714286,0.428571428571429,0,0.467755102040816,0.582040816326531,0.0400000000000001,0.245714285714286,0.39265306122449,0.150204081632653,0.450612244897959,0.222857142857143,0.39265306122449,0.350204081632653,0.675102040816327,0.331720116618076,0.635307764715783,0.859998033904004,NA,0.72281984722857,0.766584978513197,0.396087247567722,0.635307764715783,0.808457017940651,0.536878755983497,0.699493622298002,0.464436354719137,0.808457017940651,0.753269560698186,0.98892650562246,0.698155728603665
"SCG_2013",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCL_2013",1,1,1,4,4,2,2,4,1,2,1,2,1,3,2.07142857142857,0,0,0,0.612244897959184,0.612244897959184,0.408163265306122,0.244897959183674,0.693877551020408,0,0.244897959183674,0,0.244897959183674,0,0.612244897959184,0.262390670553936,0,0,0,0.714285714285714,0.714285714285714,0.476190476190476,0.285714285714286,0.80952380952381,0,0.285714285714286,0,0.285714285714286,0,0.714285714285714,0.306122448979592,NA,NA,NA,0.727614509000152,0.727614509000152,0.84210218415071,0.639701696570802,0.876518352651315,NA,0.639701696570802,NA,0.639701696570802,NA,0.912771516428777,0.750715770117939
"FRE_2013",2,2,2,1,2,2,2,1,2,2,2,2,2,3,1.92857142857143,0.32,0.32,0.32,0,0.32,0.32,0.32,0,0.32,0.32,0.32,0.32,0.32,0.46,0.284285714285714,0.355555555555555,0.355555555555555,0.355555555555555,0,0.355555555555555,0.355555555555555,0.355555555555555,0,0.355555555555555,0.355555555555555,0.355555555555555,0.355555555555555,0.355555555555555,0.511111111111111,0.315873015873016,0.724667671903595,0.724667671903595,0.724667671903595,NA,0.724667671903595,0.724667671903595,0.724667671903595,NA,0.724667671903595,0.724667671903595,0.724667671903595,0.724667671903595,0.724667671903595,0.692792356488025,0.722011395618964
"UEB_2013",2,2,1,2,1,1,2,1,3,2,1,1,2,2,1.64285714285714,0.0713305898491086,0.431412894375857,0,0.0363511659807956,0,0,0.5,0,0.521947873799726,0.0363511659807956,0,0,0.301783264746228,0.0363511659807956,0.138252008622379,0.0726764500349408,0.439552760307477,0,0.037037037037037,0,0,0.509433962264151,0,0.531795946890287,0.037037037037037,0,0,0.307477288609364,0.037037037037037,0.140860537086952,0.447484611678694,0.877847432869059,NA,0.390494267027911,NA,NA,1,NA,0.804286482728354,0.390494267027911,NA,NA,0.703109437445417,0.390494267027911,0.625526345725657
"FRB_2013",2,2,2,2,3,2,2,2,2,2,1,2,3,2,2.07142857142857,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.375,0.5,0.375,0,0.375,0.625,0.375,0.392857142857143,0.5,0.5,0.5,0.5,0.833333333333333,0.5,0.5,0.5,0.666666666666667,0.5,0,0.5,0.833333333333333,0.5,0.523809523809524,0.794949052073454,0.794949052073454,0.794949052073454,0.794949052073454,0.911530267796712,0.794949052073454,0.794949052073454,0.794949052073454,1,0.794949052073454,NA,0.794949052073454,0.911530267796712,0.794949052073454,0.82865777356369
"BUR_2013",1,3,2,2,4,2,3,3,2,2,2,4,3,3,2.57142857142857,0,0.225245653817082,0.090702947845805,0.0312421264802218,0.17787855883094,0.090702947845805,0.202569916855631,0.149155958679768,0.090702947845805,0.0614764424288234,0.0614764424288234,0.204585537918871,0.0917107583774252,0.17687074829932,0.118165784832452,0,0.228878648233487,0.0921658986175116,0.0317460317460319,0.180747567844342,0.0921658986175116,0.205837173579109,0.151561699948797,0.0921658986175116,0.062467997951869,0.062467997951869,0.207885304659498,0.0931899641577062,0.179723502304147,0.120071684587814,NA,0.543538172178037,0.472758234645524,0.379745186723829,0.425875318850054,0.472758234645524,0.493417224201482,0.44738079872158,0.472758234645524,0.433370920044874,0.433370920044874,0.446378573061672,0.40670666220426,0.464070033686063,0.453240654896407
