"","Pop","TruffleYear","Number","Count"
"72","NEU","2013","MLG",2
"73","UST","2013","N",28
"74","UST","2013","MLG",16
"75","KON","2013","N",3
"76","KON","2013","MLG",3
"77","ALD","2013","N",11
"78","ALD","2013","MLG",5
"79","RIE","2013","N",13
"80","RIE","2013","MLG",11
"81","FRI","2013","N",52
"82","FRI","2013","MLG",7
"83","FRB","2013","N",4
"84","FRB","2013","MLG",3
"85","UEB","2014","N",40
"86","UEB","2014","MLG",15
"87","FRE","2014","N",8
"88","FRE","2014","MLG",2
"89","SCS","2014","N",15
"90","SCS","2014","MLG",3
"91","SCL","2014","N",22
"92","SCL","2014","MLG",9
"93","SCG","2014","N",2
"94","SCG","2014","MLG",2
"95","BOB","2014","N",30
"96","BOB","2014","MLG",22
"97","BOH","2014","N",10
"98","BOH","2014","MLG",6
"99","SCD","2014","N",6
"100","SCD","2014","MLG",3
"101","BUR","2014","N",8
"102","BUR","2014","MLG",6
"103","UST","2014","N",7
"104","UST","2014","MLG",6
"105","ALD","2014","N",6
"106","ALD","2014","MLG",5
"107","FRI","2014","N",4
"108","FRI","2014","MLG",3
"109","RIE","2014","N",11
"110","RIE","2014","MLG",10
"111","KON","2014","N",14
"112","KON","2014","MLG",8
"113","NEU","2014","N",3
"114","NEU","2014","MLG",2
"115","UEB","2015","N",15
"116","UEB","2015","MLG",6
"117","BOB","2015","N",12
"118","BOB","2015","MLG",11
"119","SCD","2015","N",16
"120","SCD","2015","MLG",11
"121","SCL","2015","N",1
"122","SCL","2015","MLG",1
"123","FRE","2015","N",5
"124","FRE","2015","MLG",1
"125","BUR","2015","N",6
"126","BUR","2015","MLG",4
"127","NEU","2015","N",1
"128","NEU","2015","MLG",1
"129","ALD","2015","N",2
"130","ALD","2015","MLG",1
"131","RIE","2015","N",1
"132","RIE","2015","MLG",1
"133","SCS","2015","N",1
"134","SCS","2015","MLG",1
"135","BRU","2016","N",96
"136","BRU","2016","MLG",5
"137","LIM","2016","N",74
"138","LIM","2016","MLG",13
"139","BOB","2016","N",52
"140","BOB","2016","MLG",23
"141","FRE","2016","N",51
"142","FRE","2016","MLG",1
"143","SCD","2016","N",43
"144","SCD","2016","MLG",4
"145","SCL","2016","N",9
"146","SCL","2016","MLG",3
"147","WSL","2016","N",59
"148","WSL","2016","MLG",2
"149","SCS","2016","N",17
"150","SCS","2016","MLG",1
"151","BUR","2016","N",21
"152","BUR","2016","MLG",3
"153","KON","2016","N",26
"154","KON","2016","MLG",7
"155","NEU","2016","N",17
"156","NEU","2016","MLG",3
"157","FRI","2016","N",9
"158","FRI","2016","MLG",2
"159","HAN","2016","N",13
"160","HAN","2016","MLG",3
"161","LIM","2017","N",78
"162","LIM","2017","MLG",6
"163","BOB","2017","N",163
"164","BOB","2017","MLG",46
"165","HAN","2017","N",34
"166","HAN","2017","MLG",6
"167","BRU","2017","N",22
"168","BRU","2017","MLG",6
"169","WSL","2017","N",62
"170","WSL","2017","MLG",2
"171","SCL","2017","N",5
"172","SCL","2017","MLG",5
"173","FRE","2017","N",97
"174","FRE","2017","MLG",2
"175","FRI","2017","N",55
"176","FRI","2017","MLG",5
"177","KON","2017","N",18
"178","KON","2017","MLG",6
"179","SCS","2017","N",2
"180","SCS","2017","MLG",1
"181","SCD","2017","N",3
"182","SCD","2017","MLG",2
"183","BRU","2018","N",60
"184","BRU","2018","MLG",8
"185","LIM","2018","N",64
"186","LIM","2018","MLG",5
"187","WSL","2018","N",12
"188","WSL","2018","MLG",1
"189","HAN","2018","N",15
"190","HAN","2018","MLG",4
"191","BUR","2018","N",34
"192","BUR","2018","MLG",2
"193","BOB","2018","N",47
"194","BOB","2018","MLG",24
"195","KON","2018","N",39
"196","KON","2018","MLG",9
"197","GEN","2018","N",1
"198","GEN","2018","MLG",1
"199","HAN","2019","N",3
"200","HAN","2019","MLG",1
"201","WSL","2019","N",73
"202","WSL","2019","MLG",2
"203","KON","2019","N",27
"204","KON","2019","MLG",8
"205","BOB","2019","N",28
"206","BOB","2019","MLG",16
"207","BUR","2019","N",3
"208","BUR","2019","MLG",1
"209","UEB","2019","N",3
"210","UEB","2019","MLG",3
"211","GEN","2019","N",1
"212","GEN","2019","MLG",1
"213","BUR","2020","N",59
"214","BUR","2020","MLG",2
"215","WSL","2020","N",72
"216","WSL","2020","MLG",3
"217","KON","2020","N",24
"218","KON","2020","MLG",7
"219","NEU","2020","N",5
"220","NEU","2020","MLG",3
"221","GEN","2020","N",2
"222","GEN","2020","MLG",1
"223","WSL","2021","N",4
"224","WSL","2021","MLG",2
"225","BUR","2021","N",20
"226","BUR","2021","MLG",2
"227","KON","2021","N",27
"228","KON","2021","MLG",2
"229","NEU","2021","N",2
"230","NEU","2021","MLG",2
"231","GEN","2021","N",2
"232","GEN","2021","MLG",1
"233","BUR","2022","N",9
"234","BUR","2022","MLG",1
"235","GEN","2022","N",4
"236","GEN","2022","MLG",1
"237","KON","2022","N",11
"238","KON","2022","MLG",4
"239","KON","2023","N",23
"240","KON","2023","MLG",5
"241","Total",NA,"N",2637
"242","Total",NA,"MLG",448
