"","FRE","ALD","RIE","TRO","SCG","BOH","BOB","FRB","UEB","SCL","SCD","WSL","BUR","SCS","NEU","UST","KON","FRI","BAR","BRU","LIM","HAN","GEN"
"SCD",0.0846135731586974,0.0902944512476663,0.053377886897487,0.117279394937983,0.0344685902118335,0.0811740298802401,0.0528817412771488,0.1196622254144,0.106287044392041,0.0392701232821588,0,0.0580771711092003,0.154522303372304,0.0920898125769529,0.0875755702115966,0.0663520413836388,0.103362716763006,0.0618930213517035,0.0543184624884223,0.0373554913294798,0.0430659891000147,0.0431427016439238,0.0415012033694344
"WSL",0.0722477064220183,0.0506453926138401,0.0519634113834369,0.0981800766283525,0.0935138539042821,0.0867966544964914,0.0656558692827554,0.110869703121035,0.0864263740622324,0.0848003387111151,0.0580771711092003,0,0.148913471141915,0.0849499374217772,0.0852564102564103,0.0807731297056636,0.0813902771467515,0.0297966929189979,0.08,0.0189048239895698,0.0234276729559748,0.0803910917979359,0.0764925373134328
"BUR",0.10881632808783,0.198871247737425,0.168498806146442,0.173665119603468,0.14404740109708,0.167799056496026,0.148064746005687,0.116951679024985,0.226338548198522,0.191855258777914,0.154522303372304,0.148913471141915,0,0.160993058695247,0.181535588905828,0.165248438239196,0.184191183333974,0.1102921264434,0.135864135864136,0.0803608875927083,0.0922584253707337,0.184559991528116,0.157323016024815
"SCS",0.0971055088702148,0.0935963811316808,0.0989124546781687,0.120162932790224,0.0666330983551527,0.0690444775312408,0.0766352792100894,0.127824623529618,0.127312013350195,0.113364158970869,0.0920898125769529,0.0849499374217772,0.160993058695247,0,0.127851549199864,0.0647081352931205,0.0820153510316175,0.0361358656585864,0.132264529058116,0.0296451240623197,0.0200482855371766,0.0915917307870585,0.0202440377149196
"NEU",0.106622306717364,0.0729464380226527,0.0436579163358943,0.0695742471443406,0.119096509240246,0.0541588508043233,0.0529835343212188,0.148408540062732,0.115758553827264,0.0872401311425702,0.0875755702115966,0.0852564102564103,0.181535588905828,0.127851549199864,0,0.0703961244501786,0.0750744364100383,0.0797098019416659,0.15625,0.0543076623881758,0.051521438450899,0.0778809146479511,0.109965635738832
"UST",0.080048324378152,0.0441707619302421,0.0529556832474689,0.0830664367249733,0.0853481708410263,0.0412767587044098,0.0360832916449934,0.12009231006767,0.0688149568194288,0.103172695115608,0.0663520413836388,0.0807731297056636,0.165248438239196,0.0647081352931205,0.0703961244501786,0,0.0704256061843492,0.0443667115125889,0.0657036942349482,0.0373518613503226,0.0306522640874329,0.0501757839055752,0.0223806936018721
"KON",0.11018810929562,0.0809721454143261,0.0756714725784701,0.13762481410665,0.118108069977427,0.0700639514500901,0.0807534398697027,0.161266546648311,0.129848942995485,0.115507974243858,0.103362716763006,0.0813902771467515,0.184191183333974,0.0820153510316175,0.0750744364100383,0.0704256061843492,0,0.0843149604479294,0.155099948744234,0.0716620049228015,0.0691085031912703,0.0905701137564597,0.0661984282907662
"FRI",0.0252776425308943,0.058619769464834,0.0527683179559188,0.0821273535633487,0.0775820127884348,0.036282394695936,0.0369388068102414,0.0499829762572077,0.0871161067588515,0.111875145146085,0.0618930213517035,0.0297966929189979,0.1102921264434,0.0361358656585864,0.0797098019416659,0.0443667115125889,0.0843149604479294,0,0.0369815092453773,0.00457062809486578,0.00464290283013899,0.0592845876568091,0.0353269901944491
"BAR",-0.0166083916083916,0.113065326633166,0.0580011780875711,0.169772256728778,0.062753036437247,0.0909485377071944,0.0579988172784593,0.0438144329896907,0.110555902560899,0.0626984126984126,0.0543184624884223,0.08,0.135864135864136,0.132264529058116,0.15625,0.0657036942349482,0.155099948744234,0.0369815092453773,0,-0.0194489465153971,0.000777000777000781,0.0683760683760684,0.0441176470588235
"BRU",0.031515319306017,0.0564204423448572,0.0458472312194763,0.0753494467093768,0.0428240740740741,0.0310604877540928,0.0333668737830895,0.0617921081476069,0.0809617520199185,0.0659805540245764,0.0373554913294798,0.0189048239895698,0.0803608875927083,0.0296451240623197,0.0543076623881758,0.0373518613503226,0.0716620049228015,0.00457062809486578,-0.0194489465153971,0,-0.00913475381514541,0.0383518621456365,-0.000124750499001995
