aest06_1.230,aest06_1.234,aest06_1.218,aest06_1.236,aest06_1.224,RowNames
0,0,1,0,0,SCHIF25
0,0,1,0,0,NEUCH2
0,0,1,0,0,NEUCH4
0,0,1,0,0,NEUCH11
0,0,1,0,0,NEUCH12
0,0,1,0,0,NEUCH26
0,0,1,0,0,NEUCH47
0,0,1,0,0,UST1
0,0,1,0,0,UST2
0,0,0,1,0,UST5
0,0,0,1,0,UST10
0,0,1,0,0,UST11
0,0,0,1,0,UST17
0,0,0,1,0,UST18
0,0,0,1,0,UST9
0,0,1,0,0,UST21
0,0,0,1,0,UST22
0,0,0,1,0,UST24
0,0,0,1,0,UST25
0,0,0,1,0,UST27
0,0,1,0,0,UST29
0,0,0,1,0,UST30
0,0,1,0,0,UST33
0,0,1,0,0,UST37
0,0,1,0,0,UST38
0,0,1,0,0,UST39
0,0,1,0,0,UST40
0,0,0,1,0,UST41
0,0,1,0,0,UST42
0,0,1,0,0,KON1
0,0,1,0,0,KON3
0,0,1,0,0,KON4
0,0,0,0,1,KON8
0,0,1,0,0,KON11
0,0,0,0,1,KON15
0,0,1,0,0,KON17
0,0,0,0,1,KON18
0,0,0,0,1,KON19
0,0,1,0,0,KON21
0,0,1,0,0,KON24
0,0,1,0,0,KON72
0,0,1,0,0,KON75
0,0,1,0,0,KON98
0,0,1,0,0,KON127
0,0,1,0,0,KON129
0,0,0,0,1,KON135
0,0,1,0,0,KON153
0,0,1,0,0,KON166
0,0,1,0,0,KON181
0,0,1,0,0,KON199
0,0,1,0,0,KON200
0,0,0,0,1,KON241
0,0,1,0,0,KON304
0,0,1,0,0,KON305
0,0,1,0,0,FRIC1
0,0,0,1,0,FRIC10
0,0,0,1,0,FRIC13
0,0,0,1,0,FRIC30
0,0,1,0,0,FRIC37
0,0,1,0,0,FRIC39
0,0,1,0,0,FRIC42
0,0,1,0,0,FRIC58
1,0,0,0,0,FRIC60
0,0,0,1,0,FRIC80
0,0,0,1,0,FRIC103
0,0,1,0,0,BARB2
0,0,0,1,0,BRU002
0,0,1,0,0,BRU018
0,0,1,0,0,BRU026
0,0,0,0,0,BRU071
0,0,0,0,0,BRU115
0,0,1,0,0,BRU148
0,0,1,0,0,BRU155
0,0,1,0,0,BRU182
0,0,1,0,0,BRU224
0,0,1,0,0,BRU225
0,0,1,0,0,BRU244
0,0,1,0,0,BRU248
0,0,1,0,0,LIM004
0,0,1,0,0,LIM005
0,0,0,1,0,LIM011
0,0,1,0,0,LIM019
0,0,1,0,0,LIM022
0,0,1,0,0,LIM039
0,0,1,0,0,LIM058
0,0,1,0,0,LIM061
0,0,1,0,0,LIM066
0,0,0,0,0,LIM069
0,0,0,1,0,LIM073
0,0,1,0,0,LIM074
0,0,1,0,0,LIM078
0,0,1,0,0,LIM101
0,0,1,0,0,LIM102
0,0,1,0,0,HAN001
0,0,0,0,1,HAN035
0,0,0,0,1,HAN040
0,0,1,0,0,HAN002
0,0,1,0,0,HAN011
0,0,1,0,0,HAN015
0,0,1,0,0,HAN021
0,0,0,1,0,GEN007
0,0,1,0,0,GEN005
