MLG,aest06_1_0,aest07_1_0,aest15_1_0,aest26_1_0,aest28_1_0,aest35_1_0,aest36_1_0,aest01_1_0,aest10_1_0,aest18_1_0,aest24_1_0,aest25_1_0,aest29_1_0,aest31_1_0
MLG92,218,256,312,157,356,148,326,242,280,160,301,122,216,308
MLG93,218,256,312,157,356,148,326,242,280,164,298,122,211,313
MLG94,218,256,312,157,356,148,326,242,280,164,301,128,216,308
MLG95,218,256,312,157,356,148,326,242,295,160,298,128,216,308
MLG96,218,256,312,157,356,152,326,236,295,160,292,128,216,308
MLG97,218,256,312,157,359,148,322,242,290,160,298,122,211,308
MLG98,218,256,312,157,359,148,322,254,295,144,298,122,211,313
MLG99,218,256,312,157,359,152,322,254,290,144,298,122,211,318
MLG100,218,256,312,157,359,152,326,254,290,144,298,122,211,318
MLG101,218,256,312,157,383,144,326,242,280,140,292,128,216,308
MLG102,218,256,312,157,383,148,322,242,280,140,298,122,216,308
MLG103,218,256,312,157,383,148,322,242,280,160,298,122,211,308
MLG104,218,256,312,157,383,148,326,236,295,164,292,128,211,313
MLG105,218,256,312,157,383,148,326,242,280,160,298,122,211,308
MLG106,218,256,312,157,383,148,326,242,280,160,298,122,216,313
MLG107,218,256,312,157,383,148,326,242,280,160,301,122,211,308
MLG108,218,256,312,157,383,148,326,242,280,160,301,122,216,308
MLG109,218,256,312,157,383,148,326,242,295,164,298,128,216,308
MLG110,218,256,312,157,389,148,322,242,295,160,298,128,211,313
MLG111,218,256,312,157,389,148,322,254,295,144,298,122,211,308
MLG112,218,256,312,157,389,148,326,236,280,140,298,128,216,318
MLG113,218,256,312,157,389,148,326,236,280,144,298,128,216,318
MLG114,218,256,312,157,389,148,326,236,295,140,298,128,216,318
MLG115,218,256,312,157,389,148,326,236,295,144,298,128,216,318
MLG116,218,256,312,157,389,148,326,242,280,140,298,128,216,313
MLG117,218,256,312,157,389,148,326,242,280,144,298,128,216,313
MLG118,218,256,312,157,389,148,326,242,280,164,298,122,211,318
MLG119,218,256,312,157,392,148,326,242,290,164,298,122,211,313
MLG120,218,256,312,157,492,148,326,242,295,144,298,122,216,318
MLG121,218,256,312,175,359,148,326,236,295,160,298,128,216,308
MLG122,218,256,312,178,350,148,322,236,280,144,298,128,216,318
MLG123,218,256,312,178,353,144,326,254,290,160,298,122,211,313
MLG124,218,256,312,178,353,148,322,242,290,160,298,122,216,308
MLG125,218,256,312,178,353,148,322,254,290,160,298,122,211,308
MLG126,218,256,312,178,353,148,322,254,290,160,298,122,216,313
MLG127,218,256,312,178,353,152,322,242,290,160,298,122,211,308
MLG128,218,256,312,178,353,152,322,254,290,160,298,122,211,323
MLG129,218,256,312,178,356,152,322,242,280,144,298,128,216,313
MLG130,218,256,312,178,359,148,322,242,290,164,298,122,211,318
MLG131,218,256,312,178,359,148,326,248,295,144,298,128,211,313
MLG132,218,256,312,178,359,152,322,236,295,144,298,128,216,318
MLG133,218,256,312,178,359,152,322,254,290,144,298,122,211,318
MLG134,218,256,312,178,383,144,326,242,288,144,298,128,211,308
MLG135,218,256,312,178,383,148,322,248,290,144,298,128,211,318
MLG136,218,256,312,178,389,148,322,242,290,160,298,128,216,328
MLG137,218,256,312,178,389,148,322,242,295,160,298,128,211,308
MLG138,218,256,312,178,389,148,326,242,290,160,298,122,211,308
MLG139,218,256,312,178,389,152,322,242,295,160,298,128,211,308
MLG140,218,256,312,181,353,152,322,236,280,144,298,128,216,313
MLG141,218,256,322,157,353,164,322,260,299,160,313,140,209,318
MLG142,218,256,322,157,353,164,350,260,299,160,313,137,209,308
MLG143,218,256,322,157,353,164,350,260,299,160,313,137,209,318
MLG144,218,256,322,157,356,164,350,260,299,160,313,140,209,308
MLG145,218,256,322,157,359,164,350,236,299,160,313,140,209,308
MLG146,218,256,322,157,359,164,350,260,299,160,313,140,209,308
MLG147,218,256,322,157,359,164,350,260,299,160,313,140,209,313
MLG148,218,256,322,157,359,164,350,260,299,160,313,140,209,318
MLG149,218,261,312,142,353,140,326,242,290,164,298,128,211,308
MLG150,218,261,312,142,353,148,326,236,280,144,301,128,216,308
MLG151,218,261,312,142,353,148,326,236,290,144,301,128,216,308
MLG152,218,261,312,142,353,148,326,242,290,164,298,128,211,308
MLG153,218,261,312,142,353,148,326,254,290,160,298,122,216,308
MLG154,218,261,312,142,353,148,326,260,290,144,301,128,216,308
MLG155,218,261,312,142,356,148,322,242,295,164,298,128,216,318
MLG156,218,261,312,142,359,148,322,236,280,144,298,128,216,318
MLG157,218,261,312,142,359,148,322,236,295,160,298,128,216,313
MLG158,218,261,312,142,359,148,322,236,295,160,298,128,216,318
MLG159,218,261,312,142,359,148,326,236,295,140,298,128,216,313
MLG160,218,261,312,142,377,148,326,242,295,144,298,128,216,308
MLG161,218,261,312,142,383,148,326,254,280,160,298,122,211,308
MLG162,218,261,312,142,389,140,322,236,280,140,298,128,216,318
MLG163,218,261,312,142,389,148,322,236,290,144,298,122,221,313
MLG164,218,261,312,142,389,148,322,236,295,144,298,122,221,313
MLG165,218,261,312,142,389,148,326,242,280,140,298,122,211,308
MLG166,218,261,312,142,392,140,322,254,280,164,298,122,211,313
MLG167,218,261,312,142,392,148,326,236,290,140,292,122,211,318
MLG168,218,261,312,142,392,148,326,242,295,160,298,122,211,313
MLG169,218,261,312,145,338,148,326,236,280,140,298,128,216,318
MLG170,218,261,312,145,353,148,322,242,290,140,298,128,216,308
MLG171,218,261,312,145,353,148,322,242,290,144,298,128,216,308
MLG172,218,261,312,145,353,148,326,236,280,144,301,128,216,308
MLG173,218,261,312,145,353,148,326,236,290,144,298,128,216,308
MLG174,218,261,312,145,353,148,326,236,290,144,301,122,216,308
MLG175,218,261,312,145,353,148,326,236,290,144,301,128,211,308
MLG176,218,261,312,145,353,148,326,236,290,144,301,128,216,308
MLG177,218,261,312,145,353,148,326,242,290,140,292,122,211,313
MLG178,218,261,312,145,353,148,326,248,280,144,298,128,216,308
MLG179,218,261,312,145,353,152,326,236,290,144,298,128,216,308
MLG180,218,261,312,145,353,152,326,248,290,144,298,128,216,308
MLG181,218,261,312,145,356,148,326,236,290,140,292,128,211,313
MLG182,218,261,312,145,356,148,326,236,295,140,292,122,211,313
MLG183,218,261,312,145,356,148,326,242,280,144,298,122,216,313
MLG184,218,261,312,145,359,148,322,236,295,160,298,128,216,308
MLG185,218,261,312,145,359,148,326,242,295,144,298,122,211,318
MLG186,218,261,312,145,359,152,322,236,290,140,298,128,216,308
MLG187,218,261,312,145,383,148,326,236,280,140,292,128,216,308
MLG188,218,261,312,145,383,148,326,236,280,140,298,128,216,308
MLG189,218,261,312,145,383,148,326,242,280,140,298,122,211,308
MLG190,218,261,312,145,383,148,326,242,280,140,298,122,216,308
MLG191,218,261,312,145,383,148,326,242,280,140,298,122,216,313
MLG192,218,261,312,145,383,148,326,242,280,140,298,128,211,308
MLG193,218,261,312,145,383,148,326,242,280,140,298,128,211,313
MLG194,218,261,312,145,383,148,326,242,295,160,292,128,216,308
MLG195,218,261,312,145,389,148,326,236,295,140,292,128,216,313
MLG196,218,261,312,145,389,148,326,242,280,140,298,122,216,313
MLG197,218,261,312,145,389,148,326,242,280,140,298,128,216,313
MLG198,218,261,312,145,389,148,326,242,295,140,292,128,216,313
MLG199,218,261,312,145,392,148,326,236,280,140,298,128,216,318
MLG200,218,261,312,145,392,148,326,236,290,140,292,122,211,313
MLG201,218,261,312,145,392,148,326,236,290,140,292,122,216,313
MLG202,218,261,312,145,392,148,326,242,290,140,292,122,211,313
MLG203,218,261,312,148,362,152,322,236,290,144,298,128,211,318
MLG204,218,261,312,157,338,148,326,242,280,160,301,122,211,308
MLG205,218,261,312,157,353,144,322,254,290,144,298,122,211,313
MLG206,218,261,312,157,353,148,322,242,290,144,298,122,211,308
MLG207,218,261,312,157,353,148,322,254,295,144,298,122,211,318
MLG208,218,261,312,157,353,148,326,236,295,140,298,122,216,308
MLG209,218,261,312,157,353,152,326,254,290,144,298,122,211,318
MLG210,218,261,312,157,353,152,326,254,290,160,298,122,211,313
MLG211,218,261,312,157,356,144,326,248,290,164,292,128,211,313
MLG212,218,261,312,157,356,148,322,236,295,160,298,122,211,313
MLG213,218,261,312,157,356,148,322,236,295,160,313,128,211,318
MLG214,218,261,312,157,356,148,322,254,295,144,298,122,211,318
MLG215,218,261,312,157,356,148,326,236,280,144,298,128,216,318
MLG216,218,261,312,157,356,148,326,236,280,164,298,128,211,313
MLG217,218,261,312,157,356,148,326,242,280,160,301,122,211,308
MLG218,218,261,312,157,356,148,326,242,280,164,298,122,211,308
MLG219,218,261,312,157,356,148,326,242,280,164,298,128,231,313
MLG220,218,261,312,157,356,148,326,242,290,164,292,128,211,313
MLG221,218,261,312,157,356,148,326,248,290,164,292,128,211,313
MLG222,218,261,312,157,356,148,326,254,280,160,298,122,211,318
MLG223,218,261,312,157,356,148,326,254,295,160,298,128,216,308
MLG224,218,261,312,157,356,152,326,254,290,160,298,128,211,313
MLG225,218,261,312,157,359,144,322,242,290,144,298,122,211,318
MLG226,218,261,312,157,359,148,322,236,295,144,298,128,216,308
MLG227,218,261,312,157,359,148,322,236,295,160,298,128,211,313
MLG228,218,261,312,157,359,152,322,254,290,140,298,122,216,318
MLG229,218,261,312,157,359,152,322,254,290,140,298,128,211,318
MLG230,218,261,312,157,383,128,326,242,280,144,298,128,216,308
MLG231,218,261,312,157,383,144,326,242,280,160,301,122,211,308
MLG232,218,261,312,157,383,148,322,242,280,160,301,122,216,308
MLG233,218,261,312,157,383,148,326,236,280,164,298,122,211,308
MLG234,218,261,312,157,383,148,326,242,280,160,295,128,211,308
MLG235,218,261,312,157,383,148,326,242,280,160,298,122,211,308
MLG236,218,261,312,157,383,148,326,242,280,160,298,122,216,308
MLG237,218,261,312,157,383,148,326,242,280,160,301,122,211,308
MLG238,218,261,312,157,383,148,326,254,280,160,298,122,211,308
MLG239,218,261,312,157,383,152,322,236,280,160,295,128,211,308
MLG240,218,261,312,157,383,152,322,242,295,144,298,131,211,313
MLG241,218,261,312,157,389,128,322,242,280,144,298,128,216,318
MLG242,218,261,312,157,389,128,326,236,280,144,298,128,211,308
MLG243,218,261,312,157,389,144,322,254,295,144,298,122,211,308
MLG244,218,261,312,157,389,148,314,254,295,144,298,122,211,308
MLG245,218,261,312,157,389,148,322,230,295,144,298,122,211,308
MLG246,218,261,312,157,389,148,322,236,280,140,298,128,216,318
MLG247,218,261,312,157,389,148,322,236,280,144,298,128,216,318
MLG248,218,261,312,157,389,148,322,236,295,144,298,122,211,308
MLG249,218,261,312,157,389,148,322,236,295,144,298,122,211,313
MLG250,218,261,312,157,389,148,322,236,295,144,298,122,211,318
MLG251,218,261,312,157,389,148,322,242,295,144,298,122,211,308
MLG252,218,261,312,157,389,148,322,242,295,160,295,128,216,308
MLG253,218,261,312,157,389,148,322,254,295,144,298,122,211,308
MLG254,218,261,312,157,389,148,322,254,295,144,298,122,211,318
MLG255,218,261,312,157,389,148,322,254,295,144,298,122,216,308
MLG256,218,261,312,157,389,148,326,236,280,144,298,128,216,313
MLG257,218,261,312,157,389,148,326,236,280,144,298,128,216,318
MLG258,218,261,312,157,389,148,326,236,295,144,298,128,216,313
MLG259,218,261,312,157,389,148,326,236,295,144,298,128,216,318
MLG260,218,261,312,157,389,148,326,254,280,144,298,128,216,318
MLG261,218,261,312,157,392,148,322,254,280,140,298,128,211,313
MLG262,218,261,312,163,356,148,326,242,295,144,292,122,211,313
MLG263,218,261,312,163,359,148,326,242,295,144,292,122,211,313
MLG264,218,261,312,175,353,152,322,254,290,144,298,122,211,318
MLG265,218,261,312,175,359,148,326,248,295,144,298,128,211,300
MLG266,218,261,312,178,353,148,322,236,290,144,298,122,211,308
MLG267,218,261,312,178,353,148,322,242,290,144,298,128,216,308
MLG268,218,261,312,178,353,148,322,248,290,144,298,128,211,308
MLG269,218,261,312,178,353,148,322,254,280,140,298,128,216,300
MLG270,218,261,312,178,353,148,326,236,280,140,298,122,211,318
MLG271,218,261,312,178,353,148,326,236,290,144,301,128,216,308
MLG272,218,261,312,178,353,148,326,248,280,140,298,128,211,318
MLG273,218,261,312,178,353,148,326,248,280,144,298,128,204,318
MLG274,218,261,312,178,353,148,326,248,280,144,298,128,211,318
MLG275,218,261,312,178,353,148,326,248,290,144,298,128,216,318
MLG276,218,261,312,178,353,148,326,254,290,160,298,122,211,313
MLG277,218,261,312,178,353,152,322,242,290,144,298,122,211,308
MLG278,218,261,312,178,353,152,322,248,290,144,298,122,211,308
MLG279,218,261,312,178,353,152,322,248,290,144,298,122,211,318
MLG280,218,261,312,178,353,152,322,254,290,144,298,122,211,308
MLG281,218,261,312,178,353,152,322,254,290,144,298,122,211,318
MLG282,218,261,312,178,353,152,322,254,290,160,298,122,211,313
MLG283,218,261,312,178,353,152,326,254,290,160,298,122,211,313
MLG284,218,261,312,178,356,148,326,236,280,144,295,122,211,308
MLG285,218,261,312,178,356,148,326,236,290,144,298,128,216,318
MLG286,218,261,312,178,356,148,326,242,280,160,298,128,216,313
MLG287,218,261,312,178,356,148,326,242,290,144,292,128,211,313
MLG288,218,261,312,178,356,152,322,254,290,144,298,122,211,318
MLG289,218,261,312,178,356,152,322,254,290,160,298,122,211,300
MLG290,218,261,312,178,359,148,322,242,290,144,298,122,211,318
MLG291,218,261,312,178,359,148,322,254,290,144,298,122,211,318
MLG292,218,261,312,178,359,148,326,236,280,160,292,122,211,308
MLG293,218,261,312,178,359,152,322,236,290,144,298,122,211,318
MLG294,218,261,312,178,359,152,322,248,290,160,298,122,211,308
MLG295,218,261,312,178,359,152,322,254,290,144,298,122,211,308
MLG296,218,261,312,178,359,152,322,254,290,144,298,122,211,313
MLG297,218,261,312,178,359,152,322,254,290,144,298,122,211,318
MLG298,218,261,312,178,371,152,322,248,290,144,298,122,211,318
MLG299,218,261,312,178,371,152,322,254,290,144,298,122,211,318
MLG300,218,261,312,178,377,152,322,254,290,144,298,122,211,318
MLG301,218,261,312,178,383,148,326,236,295,144,298,128,211,308
MLG302,218,261,312,178,383,148,326,242,280,140,298,122,211,308
MLG303,218,261,312,178,383,148,326,242,280,140,298,128,216,313
MLG304,218,261,312,178,383,148,326,242,288,144,298,128,241,308
MLG305,218,261,312,178,386,152,322,254,290,144,298,122,211,318
MLG306,218,261,312,178,389,148,322,242,280,144,298,122,211,308
MLG307,218,261,312,178,389,148,322,242,295,144,298,128,211,313
MLG308,218,261,312,178,389,148,326,236,280,140,298,128,216,318
MLG309,218,261,312,178,389,148,326,236,290,140,292,122,211,318
MLG310,218,261,312,178,389,148,326,236,290,144,292,122,211,313
MLG311,218,261,312,178,389,148,326,242,280,144,298,128,216,318
MLG312,218,261,312,178,389,152,322,236,290,144,298,122,211,318
MLG313,218,261,312,178,392,148,322,242,290,160,313,128,211,308
MLG314,218,261,312,178,392,148,326,236,290,140,292,122,211,313
MLG315,218,261,312,178,398,152,322,254,290,144,298,122,211,318
MLG316,218,261,312,178,401,152,322,254,290,144,298,122,211,318
MLG317,218,261,312,178,404,148,326,236,295,140,298,128,216,308
MLG318,218,261,312,178,425,152,322,254,290,144,298,122,211,318
MLG319,218,261,312,181,359,152,326,248,290,144,298,122,211,313
MLG320,218,261,312,196,353,148,322,248,280,160,298,128,216,308
MLG321,218,266,317,157,377,152,326,254,294,136,295,137,204,313
MLG322,218,266,317,157,377,156,326,254,295,136,295,137,204,313
MLG323,218,266,317,157,401,152,326,260,294,136,295,137,208,313
MLG324,218,276,322,157,353,164,322,236,299,160,313,137,209,318
MLG325,218,276,322,157,353,164,322,260,299,160,313,137,209,313
MLG326,218,276,322,157,353,164,322,260,299,160,313,137,209,318
MLG327,218,276,322,157,353,164,322,260,299,160,313,140,209,318
MLG328,224,256,312,142,392,148,326,236,280,164,298,128,216,308
MLG329,224,256,312,142,476,148,322,242,290,144,298,128,216,318
MLG330,224,256,312,145,353,148,326,242,290,144,295,128,211,313
MLG331,224,256,312,145,356,152,318,254,295,160,295,128,216,318
MLG332,224,256,312,145,356,152,322,254,295,160,295,128,216,318
MLG333,224,261,312,142,392,148,326,236,295,140,292,122,211,313
MLG334,224,261,312,145,353,148,322,236,295,160,298,128,211,308
MLG335,224,261,312,145,353,148,322,242,290,144,298,128,216,308
MLG336,224,261,312,145,353,148,326,236,280,164,298,128,216,308
MLG337,224,261,312,145,353,148,326,236,290,140,301,128,216,308
MLG338,224,261,312,145,353,148,326,236,290,144,301,128,216,308
MLG339,224,261,312,145,353,148,326,242,290,144,298,128,216,308
MLG340,224,261,312,145,353,152,326,236,290,144,298,128,216,308
MLG341,224,261,312,145,353,152,326,242,290,144,298,128,216,308
MLG342,224,261,312,145,389,148,326,236,290,140,298,128,211,313
MLG343,224,261,312,145,392,148,326,236,295,140,292,122,211,313
MLG344,224,261,312,157,389,128,326,236,280,144,298,128,216,318
MLG345,224,261,312,178,353,148,322,236,295,160,292,128,211,318
MLG346,224,261,312,178,353,148,322,236,295,160,298,128,211,308
MLG347,224,261,312,178,356,148,326,248,280,144,298,122,216,308
MLG348,224,261,312,178,383,148,326,236,280,160,295,128,211,308
MLG349,224,261,312,178,383,148,326,242,280,160,295,128,211,308
MLG350,224,261,312,178,383,148,326,248,280,160,295,128,211,308
MLG351,224,261,312,178,389,148,322,236,280,144,298,128,221,308
MLG352,230,256,312,175,383,148,322,242,295,144,298,128,211,308
MLG353,230,261,312,145,356,148,326,236,295,140,298,128,211,308
MLG354,230,266,317,157,401,152,326,254,294,136,304,137,204,313
MLG355,230,266,317,157,401,152,326,254,294,136,304,137,204,318
MLG356,230,266,317,157,401,152,326,260,294,136,304,137,204,313
MLG357,230,266,317,157,401,152,326,260,294,140,295,137,209,313
MLG358,234,261,312,142,356,144,326,242,295,164,298,128,216,318
MLG359,234,261,312,142,356,148,326,242,295,140,298,128,211,308
MLG360,234,261,312,145,356,144,326,242,295,140,298,128,211,308
MLG361,234,261,312,145,356,148,326,236,295,140,292,128,211,308
MLG362,234,261,312,145,356,148,326,236,295,140,298,128,211,308
MLG363,234,261,312,145,356,148,326,242,295,140,298,128,211,308
MLG364,236,251,312,178,383,148,318,242,295,144,298,128,211,308
MLG365,236,256,312,142,353,140,322,248,280,164,298,128,211,318
MLG366,236,256,312,142,353,148,322,248,280,164,298,128,211,318
MLG367,236,256,312,142,356,148,326,242,280,160,298,122,211,308
MLG368,236,256,312,142,356,148,326,242,280,160,298,128,211,318
MLG369,236,256,312,142,356,152,326,242,280,160,298,128,216,308
MLG370,236,256,312,145,356,148,322,242,290,160,292,128,211,308
MLG371,236,256,312,145,380,148,322,254,280,144,298,122,221,313
MLG372,236,256,312,145,383,148,326,242,288,144,298,128,211,308
MLG373,236,256,312,145,383,148,326,242,288,144,298,128,211,318
MLG374,236,256,312,154,392,148,322,254,280,140,298,122,211,313
MLG375,236,256,312,157,353,148,322,248,295,164,292,128,211,308
MLG376,236,256,312,157,356,148,326,242,280,160,298,122,211,313
MLG377,236,256,312,157,356,148,326,242,280,160,298,122,211,318
MLG378,236,256,312,157,356,148,326,242,280,164,298,122,211,318
MLG379,236,256,312,157,356,148,326,242,280,164,301,128,216,318
MLG380,236,256,312,157,383,148,326,254,280,160,298,122,211,308
MLG381,236,256,312,157,389,148,326,242,280,160,298,122,211,313
MLG382,236,256,312,157,392,148,326,242,280,140,298,122,211,318
MLG383,236,256,312,175,383,148,322,242,295,144,298,128,211,308
MLG384,236,256,312,175,389,148,326,236,295,160,298,128,216,308
MLG385,236,256,312,175,389,148,326,236,295,160,298,128,216,313
MLG386,236,256,312,175,389,148,326,236,295,160,298,128,216,318
MLG387,236,256,312,178,356,148,326,242,280,160,298,128,211,313
MLG388,236,256,312,178,383,148,322,236,280,144,298,128,211,308
MLG389,236,256,312,178,383,148,322,236,295,144,298,128,211,308
MLG390,236,256,312,178,383,148,322,236,295,144,298,128,211,318
MLG391,236,256,312,178,383,148,322,236,295,144,298,128,241,308
MLG392,236,256,312,178,383,148,322,242,280,144,298,128,211,308
MLG393,236,256,312,178,383,148,322,242,280,160,298,128,211,308
MLG394,236,256,312,178,383,148,322,242,288,144,298,128,211,308
MLG395,236,256,312,178,383,148,322,242,295,144,298,128,211,308
MLG396,236,256,312,178,383,148,322,242,295,144,298,128,211,318
MLG397,236,256,312,178,383,148,322,242,295,144,298,128,241,308
MLG398,236,256,312,178,383,148,322,242,295,144,298,128,241,313
MLG399,236,256,312,178,383,148,326,242,288,144,298,128,211,308
MLG400,236,256,312,178,383,148,326,242,295,144,298,128,211,308
MLG401,236,256,312,178,383,148,326,242,295,144,298,128,241,318
MLG402,236,261,312,142,353,148,326,242,280,160,313,128,216,318
MLG403,236,261,312,142,356,140,322,242,295,144,298,122,216,308
MLG404,236,261,312,142,356,148,326,236,280,144,298,128,216,318
MLG405,236,261,312,142,356,148,326,242,295,144,298,122,216,308
MLG406,236,261,312,142,356,148,326,242,295,144,298,128,211,308
MLG407,236,261,312,142,356,148,326,242,295,144,298,128,216,308
MLG408,236,261,312,142,377,148,326,242,295,144,298,128,211,308
MLG409,236,261,312,142,377,148,326,242,295,144,298,128,216,308
MLG410,236,261,312,142,383,148,322,242,280,160,298,122,211,308
MLG411,236,261,312,142,389,148,322,254,280,160,298,128,211,308
MLG412,236,261,312,142,389,148,326,242,280,144,298,122,211,313
MLG413,236,261,312,142,392,148,322,254,280,164,298,122,211,313
MLG414,236,261,312,145,356,148,326,242,295,140,298,128,211,308
MLG415,236,261,312,145,359,148,322,242,290,144,298,128,211,308
MLG416,236,261,312,145,392,152,326,242,280,160,292,128,211,308
MLG417,236,261,312,157,353,152,322,254,295,144,295,128,216,300
