		aest01_1	aest06_1	aest07_1	aest10_1	aest15_1	aest18_1	aest24_1	aest25_1	aest26_1	aest28_1	aest29_1	aest31_1	aest35_1	aest36_1
ALD55	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD56	ALD	0	234	261	295	312	140	298	128	145	353	211	0	148	326
ALD57	ALD	236	234	261	280	312	144	0	128	145	356	216	308	148	326
ALD58	ALD	0	218	261	295	312	140	0	128	157	356	211	0	148	326
ALD59	ALD	236	234	261	295	312	140	292	128	145	356	211	308	148	326
ALD6	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD60	ALD	236	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD61	ALD	242	234	261	295	312	140	298	128	145	356	211	0	148	326
ALD62	ALD	236	224	256	280	312	164	298	128	142	392	216	308	148	326
ALD63	ALD	236	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD64	ALD	236	230	261	295	312	140	298	128	145	356	211	308	148	326
ALD65	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD66	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD67	ALD	242	234	261	295	312	140	298	128	142	356	211	308	148	326
ALD68	ALD	0	234	261	295	312	140	298	128	142	356	211	0	148	326
ALD69	ALD	236	234	261	295	312	140	298	128	145	356	211	0	148	326
ALD7	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD70	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD71	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD8	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
ALD9	ALD	242	234	261	295	312	140	298	128	145	356	211	308	148	326
BARB1	BAR	0	218	261	290	312	160	298	131	157	347	204	318	152	322
BARB2	BAR	242	218	261	295	312	144	298	131	157	383	211	313	152	322
BOHBU1	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU10	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU100	BOB	242	236	261	280	312	160	298	128	157	356	211	318	148	322
BOHBU101	BOB	236	218	256	280	312	140	322	128	145	0	216	0	148	326
BOHBU102	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU103	BOB	236	236	261	295	312	164	298	128	178	356	211	318	148	322
BOHBU104	BOB	236	236	261	295	312	164	298	128	157	356	211	313	148	326
BOHBU105	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU106	BOB	0	236	261	280	312	164	298	122	157	356	211	318	148	326
BOHBU107	BOB	242	218	261	280	312	140	298	122	145	383	211	308	148	326
BOHBU108	BOB	242	218	261	295	312	140	292	128	145	389	216	313	148	326
BOHBU11	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU111	BOB	0	218	261	280	312	140	298	128	145	0	216	0	148	326
BOHBU112	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU113	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU114	BOB	0	218	256	280	312	140	298	128	145	0	216	308	148	326
BOHBU115	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU116	BOB	242	218	261	280	312	160	301	122	157	383	211	308	148	326
BOHBU117	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU118	BOB	242	218	261	320	312	140	298	122	145	0	216	313	148	326
BOHBU119	BOB	254	236	256	280	312	140	298	122	154	392	211	313	148	322
BOHBU12	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU120	BOB	236	218	256	295	312	140	0	128	178	383	216	0	148	322
BOHBU121	BOB	242	218	256	280	312	140	298	128	142	356	216	313	148	326
BOHBU122	BOB	236	218	256	295	312	140	298	128	145	389	216	313	148	326
BOHBU123	BOB	236	236	261	295	312	164	298	128	178	356	211	0	148	322
BOHBU124	BOB	236	218	256	280	312	140	298	128	142	383	216	308	148	326
BOHBU125	BOB	242	218	256	280	312	160	298	128	145	356	211	318	148	322
BOHBU126	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU127	BOB	236	218	261	295	312	140	292	128	145	389	216	313	148	326
